Agent,Mean_Points,Std_Deviation,Min_Points,Max_Points,Alpha,Beta,Trust
Agent 1,1902.48,257.0462012946311,1730.0,2415.0,0.8,5,0.0
Agent 2,1837.39,400.67874650397914,1600.0,2646.0,0.1,3,0.8
